timestamp,symbol,price
2026-07-31 11:11:46,BTCUSDT,63912.0
2026-07-31 11:11:46,ETHUSDT,1891.28
2026-07-31 11:11:46,SOLUSDT,73.69
2026-07-31 11:11:46,DOGEUSDT,0.07016
2026-07-31 11:11:46,SHIBUSDT,4.71e-06
2026-07-31 11:11:46,PEPEUSDT,2.73e-06
2026-07-31 11:16:49,BTCUSDT,63881.95
2026-07-31 11:16:49,ETHUSDT,1890.41
2026-07-31 11:16:49,SOLUSDT,73.67
2026-07-31 11:16:49,DOGEUSDT,0.07008
2026-07-31 11:16:49,SHIBUSDT,4.71e-06
2026-07-31 11:16:49,PEPEUSDT,2.73e-06
2026-07-31 11:21:51,BTCUSDT,63878.01
2026-07-31 11:21:51,ETHUSDT,1888.59
2026-07-31 11:21:52,SOLUSDT,73.67
2026-07-31 11:21:52,DOGEUSDT,0.07005
2026-07-31 11:21:52,SHIBUSDT,4.71e-06
2026-07-31 11:21:52,PEPEUSDT,2.74e-06
2026-07-31 11:26:56,BTCUSDT,63918.01
2026-07-31 11:26:56,ETHUSDT,1891.01
2026-07-31 11:26:56,SOLUSDT,73.7
2026-07-31 11:26:56,DOGEUSDT,0.07006
2026-07-31 11:26:56,SHIBUSDT,4.71e-06
2026-07-31 11:26:56,PEPEUSDT,2.73e-06
2026-07-31 11:31:59,BTCUSDT,63937.57
2026-07-31 11:31:59,ETHUSDT,1891.57
2026-07-31 11:31:59,SOLUSDT,73.7
2026-07-31 11:31:59,DOGEUSDT,0.07006
2026-07-31 11:31:59,SHIBUSDT,4.69e-06
2026-07-31 11:31:59,PEPEUSDT,2.73e-06
2026-07-31 11:37:03,BTCUSDT,63927.96
2026-07-31 11:37:03,ETHUSDT,1891.52
2026-07-31 11:37:03,SOLUSDT,73.66
2026-07-31 11:37:03,DOGEUSDT,0.07003
2026-07-31 11:37:03,SHIBUSDT,4.68e-06
2026-07-31 11:37:03,PEPEUSDT,2.73e-06
2026-07-31 11:42:06,BTCUSDT,63836.0
2026-07-31 11:42:06,ETHUSDT,1889.59
2026-07-31 11:42:06,SOLUSDT,73.57
2026-07-31 11:42:07,DOGEUSDT,0.0699
2026-07-31 11:42:07,SHIBUSDT,4.64e-06
2026-07-31 11:42:07,PEPEUSDT,2.73e-06
2026-07-31 11:43:00,BTCUSDT,63850.04
2026-07-31 11:47:09,BTCUSDT,63885.99
2026-07-31 11:47:09,ETHUSDT,1891.57
2026-07-31 11:47:09,SOLUSDT,73.72
2026-07-31 11:47:10,DOGEUSDT,0.06999
2026-07-31 11:47:10,SHIBUSDT,4.65e-06
2026-07-31 11:47:10,PEPEUSDT,2.74e-06
2026-07-31 11:52:13,BTCUSDT,63860.91
2026-07-31 11:52:13,ETHUSDT,1890.88
2026-07-31 11:52:13,SOLUSDT,73.71
2026-07-31 11:52:13,DOGEUSDT,0.07002
2026-07-31 11:52:13,SHIBUSDT,4.65e-06
2026-07-31 11:52:13,PEPEUSDT,2.74e-06
2026-07-31 11:57:16,BTCUSDT,63850.07
2026-07-31 11:57:16,ETHUSDT,1890.51
2026-07-31 11:57:16,SOLUSDT,73.66
2026-07-31 11:57:16,DOGEUSDT,0.06996
2026-07-31 11:57:16,SHIBUSDT,4.64e-06
2026-07-31 11:57:16,PEPEUSDT,2.74e-06
2026-07-31 12:02:19,BTCUSDT,63832.55
2026-07-31 12:02:19,ETHUSDT,1890.76
2026-07-31 12:02:19,SOLUSDT,73.67
2026-07-31 12:02:19,DOGEUSDT,0.06993
2026-07-31 12:02:19,SHIBUSDT,4.64e-06
2026-07-31 12:02:19,PEPEUSDT,2.73e-06
2026-07-31 12:07:23,BTCUSDT,63822.3
2026-07-31 12:07:23,ETHUSDT,1889.98
2026-07-31 12:07:23,SOLUSDT,73.65
2026-07-31 12:07:23,DOGEUSDT,0.06985
2026-07-31 12:07:23,SHIBUSDT,4.63e-06
2026-07-31 12:07:23,PEPEUSDT,2.74e-06
2026-07-31 12:12:26,BTCUSDT,63780.6
2026-07-31 12:12:26,ETHUSDT,1889.31
2026-07-31 12:12:26,SOLUSDT,73.65
2026-07-31 12:12:26,DOGEUSDT,0.06984
2026-07-31 12:12:26,SHIBUSDT,4.64e-06
2026-07-31 12:12:26,PEPEUSDT,2.73e-06
2026-08-02 19:34:18,BTCUSDT,63170.01
2026-08-02 19:34:52,ETHUSDT,1861.34
2026-08-02 19:34:57,ETHUSDT,1861.54
